date,high,low,open,close,volume
2018-09-18,23.1400,19.2800,19.2800,23.1400,390103
2018-09-19,25.4500,25.4500,25.4500,25.4500,138874
2018-09-20,28.0000,28.0000,28.0000,28.0000,639029
2018-09-21,30.0000,26.0300,30.0000,26.1700,92942080
2018-09-25,25.0000,23.5600,25.0000,23.7100,63891504
2018-09-26,23.8700,23.1300,23.5000,23.4500,42096032
2018-09-27,23.3000,21.3500,23.3000,21.4600,53200913
2018-09-28,21.8400,21.1100,21.4000,21.2600,28087082
2018-10-08,20.9700,20.0500,20.7000,20.2300,22330159
2018-10-09,21.1700,20.6100,20.7500,20.7400,25560416
2018-10-10,20.8800,20.3100,20.5500,20.5700,16678697
2018-10-11,19.6800,18.5100,19.4500,18.5100,26345071
2018-10-12,18.3900,16.8800,18.1800,17.9800,25630670
2018-10-15,18.5800,17.8900,18.0100,17.9100,18124903
2018-10-16,18.0600,17.2000,17.9100,17.6400,15237835
2018-10-17,18.3000,17.5300,18.0200,18.2900,21187142
2018-10-18,18.7900,17.6100,18.0700,18.3000,28499520
2018-10-19,20.0800,17.8500,17.9900,19.3900,37276609
2018-10-22,20.8500,19.4000,19.5600,20.3700,42542450
2018-10-23,20.3600,19.5200,20.2000,19.6300,28791970
2018-10-24,19.9400,19.2200,19.5400,19.4900,16831137
2018-10-25,20.3600,18.5500,18.7600,20.1300,27489341
2018-10-26,20.5500,19.6100,20.4000,19.6700,17946313
2018-10-29,20.2000,19.4800,19.5800,19.7000,14090074
2018-10-30,19.8600,19.0800,19.7500,19.7700,14990826
2018-10-31,20.9500,20.2100,20.2100,20.6200,36302401
2018-11-01,20.7400,20.2500,20.5100,20.2900,23134078
2018-11-02,20.8500,20.4100,20.5800,20.7800,23093759
2018-11-05,21.2900,20.0200,21.0900,20.1600,35932996
2018-11-06,19.9500,18.9000,19.9400,19.1000,31933601
2018-11-07,19.3100,19.0100,19.1500,19.0600,14214229
2018-11-08,19.3700,18.8000,19.2100,18.8600,13299573
2018-11-09,19.0900,18.5800,18.6800,18.8200,8921231
2018-11-12,19.2800,18.7300,18.9300,19.2800,13534505
2018-11-13,19.3000,18.8500,18.9400,19.2300,18105494
2018-11-14,19.5700,19.2100,19.2800,19.2600,17693577
2018-11-15,19.7700,19.2400,19.2600,19.7700,23383519
2018-11-16,19.9400,19.6400,19.7600,19.6800,19726984
2018-11-19,19.8500,19.4200,19.6700,19.7000,14557350
2018-11-20,19.5400,18.8800,19.4600,18.8800,18514744
2018-11-21,19.0700,18.5100,18.6100,19.0500,11082458
2018-11-22,19.1000,18.8700,19.1000,18.9100,6845097
2018-11-23,19.0600,17.9300,18.9500,17.9700,13870978
2018-11-26,18.1300,17.8600,17.9700,17.9200,5615611
2018-11-27,18.3700,18.1000,18.1500,18.1600,7669245
2018-11-28,18.3500,17.9200,18.1000,18.3300,7446788
2018-11-29,18.5500,17.6500,18.5000,17.6600,9168509
2018-11-30,17.7400,17.2000,17.6000,17.6000,9701286
2018-12-03,18.6500,18.0500,18.1300,18.6000,19157882
2018-12-04,18.5500,18.3000,18.5000,18.4800,10049611
2018-12-05,18.2600,18.0400,18.1100,18.1800,8444468
2018-12-06,18.2900,17.9300,18.1900,17.9300,9112689
2018-12-07,18.1400,17.9200,17.9300,17.9300,4528365
2018-12-10,17.8500,17.3600,17.7800,17.4500,8361819
2018-12-11,17.6200,17.4500,17.4500,17.6000,4956835
2018-12-12,17.8300,17.6100,17.6300,17.6200,5368545
2018-12-13,17.9700,17.5900,17.7200,17.8100,8553750
2018-12-14,17.7800,17.2900,17.7700,17.3400,8020920
2018-12-17,17.5100,17.1900,17.1900,17.4600,4887397
2018-12-18,17.5300,17.2700,17.4100,17.4400,4722384
2018-12-19,17.6000,17.3100,17.4700,17.3400,5419508
2018-12-20,17.4800,17.2400,17.3000,17.4300,4386113
2018-12-21,17.7400,17.3300,17.3800,17.7000,8926382
2018-12-24,18.3500,17.7000,17.7000,18.3000,18081025
2018-12-25,18.5800,17.8200,18.1000,18.4400,18955488
2018-12-26,18.4900,18.0800,18.4500,18.0800,12133048
2018-12-27,18.4500,17.6500,18.3800,17.6600,11618207
2018-12-28,17.8900,17.5000,17.7500,17.5200,9291912
2019-01-02,17.7400,17.4600,17.6200,17.5800,5567585
2019-01-03,17.9300,16.9600,17.6200,17.0000,12726409
2019-01-04,16.9800,16.2100,16.5800,16.9300,19759379
2019-01-07,17.3500,16.8200,17.0000,17.2500,13529800
2019-01-08,17.2000,17.0200,17.2000,17.0200,8097526
2019-01-09,17.3400,17.0200,17.0200,17.1000,10498306
2019-01-10,17.0600,16.8100,16.8900,16.8800,9590709
2019-01-11,18.3500,16.8200,16.8200,18.0300,30838185
2019-01-14,18.1700,17.5100,18.1000,17.5300,20107525
2019-01-15,17.6500,17.3200,17.5300,17.6200,11270895
2019-01-16,17.9800,17.6100,17.6700,17.6300,12354789
2019-01-17,17.7000,17.1600,17.7000,17.1800,10644019
2019-01-18,17.4600,17.1100,17.2200,17.3500,8390280
2019-01-21,17.7300,17.3300,17.4100,17.5000,9988527
2019-01-22,17.9800,17.4200,17.4300,17.7000,14665523
2019-01-23,17.7800,17.4900,17.6000,17.7600,9767013
2019-01-24,18.0000,17.5300,17.6400,17.7600,12748191
2019-01-25,17.8400,17.2100,17.7600,17.2400,11914841
2019-01-28,17.5600,17.2700,17.3200,17.2800,8186484
2019-01-29,17.2800,16.5100,17.2800,16.7400,9571394
2019-01-30,17.1600,16.7300,16.7800,16.7700,7850377
2019-01-31,17.0900,16.6200,17.0600,16.7200,7709635
2019-02-01,17.1100,16.8100,16.8800,17.1100,6723294
2019-02-11,18.2800,17.1800,17.1800,18.1800,24309831
2019-02-12,19.6000,18.0500,18.1800,19.2900,47890744
2019-02-13,20.7000,19.0300,19.0700,19.8500,51720674
2019-02-14,20.3500,19.6600,20.1400,20.0300,31206841
2019-02-15,22.0300,20.0800,20.0800,22.0300,43951342
2019-02-18,23.2000,21.5800,22.9100,22.7300,61045634
2019-02-19,22.5500,21.7100,22.4900,22.0000,41740417
2019-02-20,23.2500,21.9400,22.5000,22.7600,41642204
2019-02-21,23.0800,22.1000,22.4700,22.2200,33450677
2019-02-22,24.4300,21.9100,22.0200,24.0700,37715978
2019-02-25,26.4800,24.5100,24.7900,25.7500,40403815
2019-02-26,25.8800,24.5800,25.7800,24.6900,30343566
2019-02-27,25.2100,23.0000,24.4000,23.5000,32977601
2019-02-28,24.7300,23.6000,23.6600,24.2200,21959301
2019-03-01,24.8700,23.6300,24.4000,24.6900,17344228
2019-03-04,25.3000,24.2600,24.8000,24.5300,26010819
2019-03-05,24.8200,24.2900,24.5000,24.7400,18012192
2019-03-06,26.6100,24.6000,24.6000,25.8000,26493699
2019-03-07,26.3200,24.8000,25.6000,25.5900,22230921
2019-03-08,25.4800,24.1000,24.8000,24.4200,18184158
2019-03-11,25.5700,24.0000,24.3300,25.5000,20211227
2019-03-12,27.8800,25.6100,25.6600,27.5000,31611336
2019-03-13,28.2300,26.6100,27.0200,27.5200,22697363
2019-03-14,28.3700,26.3800,27.2000,27.0500,15971322
2019-03-15,28.2800,26.5900,27.5000,27.0600,11394605
2019-03-18,27.4800,26.4000,26.6500,27.3400,9211737
2019-03-19,28.4200,27.0600,27.3000,27.5400,11075667
2019-03-20,27.4200,26.5800,27.2000,26.7800,9167109
2019-03-21,27.6600,26.4300,26.7600,27.0400,10239799
2019-03-22,28.4700,27.0600,27.2000,28.2500,16663550
2019-03-25,27.9300,26.7200,27.5900,26.8100,12539589
2019-03-26,27.3000,25.1000,26.9600,25.2900,12966440
2019-03-27,26.0900,24.8700,25.5400,25.7400,9488093
2019-03-28,26.4500,25.2500,25.4100,25.7400,7318248
2019-03-29,27.0500,25.5000,25.5000,26.7400,9016650
2019-04-01,28.8200,27.0500,27.2200,28.6300,15436524
2019-04-02,29.7000,27.9700,28.8600,28.2100,15761742
2019-04-03,28.4600,27.9100,28.2100,28.1000,8197061
2019-04-04,28.3700,27.7500,28.1000,28.0200,7724787
2019-04-08,28.5100,27.5000,28.0500,28.4400,11768037
2019-04-09,28.7900,28.0100,28.1000,28.6600,8207773
