,ma_period,atr_period,up_line,down_line,annual_return,sqn,trades
0,1,5,1.0,1.0,0.0,0.0,0
1,1,13,1.0,1.2,0.0,0.0,0
2,1,15,1.6,1.6,0.0,0.0,0
3,1,15,1.6,1.8,0.0,0.0,0
4,1,15,1.6,2.0,0.0,0.0,0
5,1,15,1.8,1.0,0.0,0.0,0
6,1,15,1.8,1.2,0.0,0.0,0
7,1,15,1.8,1.4,0.0,0.0,0
8,1,15,1.8,1.6,0.0,0.0,0
9,1,15,1.8,1.8,0.0,0.0,0
10,1,15,1.8,2.0,0.0,0.0,0
11,1,15,2.0,1.0,0.0,0.0,0
12,1,15,2.0,1.2,0.0,0.0,0
13,1,15,2.0,1.4,0.0,0.0,0
14,1,15,2.0,1.6,0.0,0.0,0
15,1,15,2.0,1.8,0.0,0.0,0
16,1,15,2.0,2.0,0.0,0.0,0
17,1,15,1.6,1.4,0.0,0.0,0
18,1,15,1.6,1.2,0.0,0.0,0
19,1,15,1.6,1.0,0.0,0.0,0
20,1,15,1.2,1.6,0.0,0.0,0
21,1,15,1.0,1.6,0.0,0.0,0
22,1,15,1.0,1.8,0.0,0.0,0
23,1,15,1.0,2.0,0.0,0.0,0
24,1,15,1.2,1.0,0.0,0.0,0
25,1,15,1.2,1.2,0.0,0.0,0
26,1,15,1.2,1.4,0.0,0.0,0
27,1,15,1.2,1.8,0.0,0.0,0
28,1,15,1.4,2.0,0.0,0.0,0
29,1,15,1.2,2.0,0.0,0.0,0
30,1,15,1.4,1.0,0.0,0.0,0
31,1,15,1.4,1.2,0.0,0.0,0
32,1,15,1.4,1.4,0.0,0.0,0
33,1,15,1.4,1.6,0.0,0.0,0
34,1,15,1.4,1.8,0.0,0.0,0
35,1,16,1.0,1.0,0.0,0.0,0
36,1,16,1.0,1.2,0.0,0.0,0
37,1,16,1.0,1.4,0.0,0.0,0
38,1,16,1.8,1.8,0.0,0.0,0
39,1,16,1.6,1.8,0.0,0.0,0
40,1,16,1.6,2.0,0.0,0.0,0
41,1,16,1.8,1.0,0.0,0.0,0
42,1,16,1.8,1.2,0.0,0.0,0
43,1,16,1.8,1.4,0.0,0.0,0
44,1,16,1.8,1.6,0.0,0.0,0
45,1,16,1.8,2.0,0.0,0.0,0
46,1,16,1.6,1.4,0.0,0.0,0
47,1,16,2.0,1.0,0.0,0.0,0
48,1,16,2.0,1.2,0.0,0.0,0
49,1,16,2.0,1.4,0.0,0.0,0
